step,time_s,vehicle_id_leader,leader_lane_pos_m,vehicle_id_follower,follower_lane_pos_m,leader_speed_mps,follower_speed_mps,gap_m,safe_dist_m,action
515,51.600,leader,206.763,follower,199.348,1.000,0.366,7.415,5.381,Leader: cruise | Follower: follow
516,51.700,leader,206.873,follower,199.392,1.100,0.447,7.481,5.469,Leader: cruise | Follower: follow
517,51.800,leader,206.993,follower,199.444,1.200,0.515,7.549,5.545,Leader: cruise | Follower: follow
518,51.900,leader,207.123,follower,199.503,1.300,0.595,7.620,5.635,Leader: cruise | Follower: follow
519,52.000,leader,207.263,follower,199.572,1.400,0.684,7.691,5.736,Leader: cruise | Follower: follow
520,52.100,leader,207.413,follower,199.648,1.500,0.766,7.765,5.831,Leader: cruise | Follower: follow
521,52.200,leader,207.573,follower,199.733,1.600,0.844,7.840,5.923,Leader: cruise | Follower: follow
522,52.300,leader,207.743,follower,199.824,1.700,0.910,7.919,6.002,Leader: cruise | Follower: follow
523,52.400,leader,207.923,follower,199.923,1.800,0.987,8.001,6.095,Leader: cruise | Follower: follow
524,52.500,leader,208.113,follower,200.034,1.900,1.113,8.079,6.250,Leader: cruise | Follower: follow
525,52.600,leader,208.313,follower,200.155,2.000,1.210,8.158,6.372,Leader: cruise | Follower: follow
526,52.700,leader,208.523,follower,200.285,2.100,1.301,8.238,6.489,Leader: cruise | Follower: follow
527,52.800,leader,208.741,follower,200.424,2.176,1.392,8.317,6.608,Leader: cruise | Follower: follow
528,52.900,leader,208.968,follower,200.571,2.268,1.470,8.397,6.710,Leader: cruise | Follower: follow
529,53.000,leader,209.201,follower,200.723,2.338,1.519,8.478,6.775,Leader: cruise | Follower: follow
530,53.100,leader,209.442,follower,200.882,2.408,1.588,8.560,6.868,Leader: cruise | Follower: follow
531,53.200,leader,209.688,follower,201.050,2.460,1.679,8.639,6.992,Leader: cruise | Follower: follow
532,53.300,leader,209.944,follower,201.228,2.555,1.781,8.716,7.133,Leader: cruise | Follower: follow
533,53.400,leader,210.207,follower,201.414,2.636,1.863,8.793,7.249,Leader: cruise | Follower: follow
