step,time_s,vehicle_id,lane_pos_m,speed_mps,leader_of_this_vehicle,gap_to_leader_m,safe_dist_m,action
77,7.800,follower_02,6.086,2.630,follower_01,9.968,8.399,follow
78,7.900,leader,28.146,4.966,,,12.707,leader_state:normal
78,7.900,follower_01,16.499,4.451,leader,11.647,11.653,brake (too close to leader)
78,7.900,follower_02,6.367,2.806,follower_01,10.132,8.681,follow
79,8.000,leader,28.646,4.992,,,12.762,leader_state:normal
79,8.000,follower_01,16.931,4.314,leader,11.715,11.381,follow
79,8.000,follower_02,6.672,3.055,follower_01,10.258,9.091,follow
80,8.100,leader,29.142,4.967,,,12.708,leader_state:normal
80,8.100,follower_01,17.385,4.549,leader,11.757,11.848,brake (too close to leader)
80,8.100,follower_02,6.999,3.266,follower_01,10.387,9.452,follow
81,8.200,leader,29.641,4.986,,,12.749,leader_state:normal
81,8.200,follower_01,17.826,4.408,leader,11.815,11.567,follow
81,8.200,follower_02,7.345,3.464,follower_01,10.481,9.798,follow
82,8.300,leader,30.138,4.970,,,12.715,leader_state:normal
82,8.300,follower_01,18.288,4.622,leader,11.850,11.996,brake (too close to leader)
82,8.300,follower_02,7.720,3.749,follower_01,10.568,10.310,follow
83,8.400,leader,30.634,4.957,,,12.688,leader_state:normal
83,8.400,follower_01,18.736,4.479,leader,11.897,11.708,follow
83,8.400,follower_02,8.107,3.866,follower_01,10.630,10.527,follow
84,8.500,leader,31.129,4.953,,,12.678,leader_state:normal
84,8.500,follower_01,19.206,4.697,leader,11.923,12.148,brake (too close to leader)
84,8.500,follower_02,8.503,3.963,follower_01,10.703,10.708,brake (too close to follower_01)
85,8.600,leader,31.624,4.951,,,12.674,leader_state:normal
85,8.600,follower_01,19.661,4.551,leader,11.963,11.853,follow
85,8.600,follower_02,8.887,3.840,follower_01,10.774,10.479,follow
86,8.700,leader,32.120,4.955,,,12.683,leader_state:normal
86,8.700,follower_01,20.144,4.826,leader,11.976,12.414,brake (too close to leader)
86,8.700,follower_02,9.291,4.035,follower_01,10.853,10.844,follow
87,8.800,leader,32.616,4.960,,,12.694,leader_state:normal
87,8.800,follower_01,20.611,4.677,leader,12.004,12.107,brake (too close to leader)
87,8.800,follower_02,9.711,4.204,follower_01,10.900,11.168,brake (too close to follower_01)
88,8.900,leader,33.116,5.000,,,12.778,leader_state:normal
88,8.900,follower_01,21.065,4.532,leader,12.051,11.814,follow
88,8.900,follower_02,10.118,4.074,follower_01,10.946,10.918,follow
89,9.000,leader,33.615,4.999,,,12.777,leader_state:normal
89,9.000,follower_01,21.541,4.759,leader,12.075,12.276,brake (too close to leader)
89,9.000,follower_02,10.523,4.050,follower_01,11.017,10.872,follow
90,9.100,leader,34.113,4.979,,,12.734,leader_state:normal
90,9.100,follower_01,22.002,4.612,leader,12.112,11.975,follow
90,9.100,follower_02,10.943,4.194,follower_01,11.059,11.149,brake (too close to follower_01)
91,9.200,leader,34.609,4.959,,,12.691,leader_state:normal
91,9.200,follower_01,22.487,4.853,leader,12.122,12.469,brake (too close to leader)
91,9.200,follower_02,11.349,4.065,follower_01,11.138,10.900,follow
92,9.300,leader,35.107,4.976,,,12.726,leader_state:normal
92,9.300,follower_01,22.957,4.703,leader,12.150,12.160,brake (too close to leader)
92,9.300,follower_02,11.774,4.247,follower_01,11.183,11.251,brake (too close to follower_01)
92,9.300,follower_03,4.600,0.000,follower_02,7.174,5.000,follow
93,9.400,leader,35.605,4.977,,,12.729,leader_state:normal
93,9.400,follower_01,23.413,4.557,leader,12.192,11.864,follow
93,9.400,follower_02,12.185,4.116,follower_01,11.227,10.997,follow
93,9.400,follower_03,4.630,0.297,follower_02,7.556,5.307,follow
94,9.500,leader,36.104,4.992,,,12.762,leader_state:normal
94,9.500,follower_01,23.892,4.790,leader,12.212,12.339,brake (too close to leader)
94,9.500,follower_02,12.617,4.314,follower_01,11.275,11.382,brake (too close to follower_01)
94,9.500,follower_03,4.687,0.575,follower_02,7.930,5.612,follow
95,9.600,leader,36.602,4.978,,,12.731,leader_state:normal
95,9.600,follower_01,24.356,4.642,leader,12.246,12.036,follow
95,9.600,follower_02,13.035,4.181,follower_01,11.321,11.122,follow
95,9.600,follower_03,4.774,0.868,follower_02,8.261,5.952,follow
96,9.700,leader,37.099,4.971,,,12.717,leader_state:normal
96,9.700,follower_01,24.848,4.922,leader,12.250,12.614,brake (too close to leader)
96,9.700,follower_02,13.468,4.334,follower_01,11.380,11.421,brake (too close to follower_01)
96,9.700,follower_03,4.890,1.162,follower_02,8.578,6.312,follow
97,9.800,leader,37.598,4.995,,,12.767,leader_state:normal
97,9.800,follower_01,25.325,4.770,leader,12.273,12.298,brake (too close to leader)
97,9.800,follower_02,13.888,4.200,follower_01,11.437,11.160,follow
97,9.800,follower_03,5.035,1.447,follower_02,8.853,6.680,follow
98,9.900,leader,38.094,4.954,,,12.681,leader_state:normal
98,9.900,follower_01,25.788,4.622,leader,12.306,11.996,follow
98,9.900,follower_02,14.335,4.462,follower_01,11.453,11.675,brake (too close to follower_01)
98,9.900,follower_03,5.202,1.673,follower_02,9.132,6.984,follow
99,10.000,leader,38.591,4.977,,,12.729,leader_state:normal
99,10.000,follower_01,26.277,4.894,leader,12.314,12.555,brake (too close to leader)
99,10.000,follower_02,14.767,4.324,follower_01,11.510,11.402,follow
99,10.000,follower_03,5.390,1.880,follower_02,9.377,7.273,follow
100,10.100,leader,39.090,4.989,,,12.755,leader_state:normal
100,10.100,follower_01,26.751,4.742,leader,12.339,12.241,follow
100,10.100,follower_02,15.221,4.539,follower_01,11.530,11.828,brake (too close to follower_01)
100,10.100,follower_03,5.600,2.094,follower_02,9.621,7.581,follow
101,10.200,leader,39.588,4.980,,,12.735,leader_state:normal
101,10.200,follower_01,27.254,5.030,leader,12.334,12.840,brake (too close to leader)
101,10.200,follower_02,15.661,4.399,follower_01,11.593,11.548,follow
101,10.200,follower_03,5.839,2.390,follower_02,9.822,8.024,follow
102,10.300,leader,40.084,4.963,,,12.699,leader_state:normal
102,10.300,follower_01,27.741,4.874,leader,12.343,12.513,brake (too close to leader)
102,10.300,follower_02,16.121,4.599,follower_01,11.621,11.948,brake (too close to follower_01)
102,10.300,follower_03,6.106,2.674,follower_02,10.015,8.468,follow
103,10.400,leader,40.582,4.977,,,12.730,leader_state:normal
103,10.400,follower_01,28.214,4.723,leader,12.368,12.202,follow
103,10.400,follower_02,16.566,4.456,follower_01,11.648,11.663,brake (too close to follower_01)
103,10.400,follower_03,6.402,2.961,follower_02,10.164,8.935,follow
104,10.500,leader,41.080,4.978,,,12.732,leader_state:normal
104,10.500,follower_01,28.704,4.904,leader,12.376,12.576,brake (too close to leader)
104,10.500,follower_02,16.998,4.318,follower_01,11.706,11.390,follow
104,10.500,follower_03,6.719,3.170,follower_02,10.279,9.287,follow
105,10.600,leader,41.579,4.990,,,12.758,leader_state:normal
105,10.600,follower_01,29.179,4.752,leader,12.400,12.262,follow
105,10.600,follower_02,17.454,4.559,follower_01,11.725,11.869,brake (too close to follower_01)
105,10.600,follower_03,7.065,3.454,follower_02,10.389,9.779,follow
106,10.700,leader,42.076,4.974,,,12.722,leader_state:normal
106,10.700,follower_01,29.684,5.051,leader,12.392,12.885,brake (too close to leader)
106,10.700,follower_02,17.896,4.418,follower_01,11.789,11.587,follow
106,10.700,follower_03,7.436,3.719,follower_02,10.459,10.256,follow
107,10.800,leader,42.574,4.973,,,12.720,leader_state:normal
107,10.800,follower_01,30.174,4.894,leader,12.400,12.556,brake (too close to leader)
107,10.800,follower_02,18.354,4.582,follower_01,11.820,11.915,brake (too close to follower_01)
107,10.800,follower_03,7.816,3.799,follower_02,10.538,10.402,follow
108,10.900,leader,43.069,4.954,,,12.681,leader_state:normal
108,10.900,follower_01,30.648,4.743,leader,12.421,12.242,follow
108,10.900,follower_02,18.798,4.440,follower_01,11.850,11.631,follow
108,10.900,follower_03,8.206,3.901,follower_02,10.592,10.591,follow
109,11.000,leader,43.568,4.987,,,12.750,leader_state:normal
109,11.000,follower_01,31.146,4.976,leader,12.422,12.727,brake (too close to leader)
109,11.000,follower_02,19.268,4.695,follower_01,11.878,12.144,brake (too close to follower_01)
109,11.000,follower_03,8.587,3.810,follower_02,10.680,10.423,follow
110,11.100,leader,44.064,4.959,,,12.691,leader_state:normal
110,11.100,follower_01,31.628,4.822,leader,12.436,12.405,follow
110,11.100,follower_02,19.723,4.550,follower_01,11.905,11.850,follow
110,11.100,follower_03,8.991,4.036,follower_02,10.732,10.846,brake (too close to follower_02)
111,11.200,leader,44.564,4.999,,,12.776,leader_state:normal
111,11.200,follower_01,32.137,5.090,leader,12.427,12.969,brake (too close to leader)
111,11.200,follower_02,20.199,4.763,follower_01,11.938,12.285,brake (too close to follower_01)
111,11.200,follower_03,9.382,3.911,follower_02,10.817,10.611,follow
112,11.300,leader,45.063,4.998,,,12.774,leader_state:normal
112,11.300,follower_01,32.630,4.932,leader,12.433,12.636,brake (too close to leader)
112,11.300,follower_02,20.661,4.616,follower_01,11.970,11.984,brake (too close to follower_01)
112,11.300,follower_03,9.800,4.176,follower_02,10.861,11.113,brake (too close to follower_02)
113,11.400,leader,45.562,4.983,,,12.742,leader_state:normal
113,11.400,follower_01,33.108,4.780,leader,12.454,12.318,follow
113,11.400,follower_02,21.108,4.473,follower_01,12.000,11.696,follow
113,11.400,follower_03,10.204,4.046,follower_02,10.903,10.866,follow
114,11.500,leader,46.059,4.973,,,12.720,leader_state:normal
114,11.500,follower_01,33.607,4.992,leader,12.452,12.761,brake (too close to leader)
114,11.500,follower_02,21.578,4.697,follower_01,12.030,12.149,brake (too close to follower_01)
114,11.500,follower_03,10.611,4.062,follower_02,10.967,10.895,follow
115,11.600,leader,46.555,4.965,,,12.704,leader_state:normal
115,11.600,follower_01,34.091,4.838,leader,12.464,12.438,follow
115,11.600,follower_02,22.033,4.552,follower_01,12.058,11.854,follow
115,11.600,follower_03,11.032,4.209,follower_02,11.001,11.178,brake (too close to follower_02)
116,11.700,leader,47.054,4.983,,,12.742,leader_state:normal
116,11.700,follower_01,34.592,5.004,leader,12.462,12.787,brake (too close to leader)
116,11.700,follower_02,22.513,4.808,follower_01,12.078,12.376,brake (too close to follower_01)
116,11.700,follower_03,11.439,4.079,follower_02,11.074,10.928,follow
117,11.800,leader,47.553,4.989,,,12.755,leader_state:normal
117,11.800,follower_01,35.076,4.850,leader,12.476,12.463,follow
117,11.800,follower_02,22.979,4.659,follower_01,12.097,12.071,follow
117,11.800,follower_03,11.873,4.340,follower_02,11.106,11.432,brake (too close to follower_02)
117,11.800,follower_04,4.600,0.000,follower_03,7.273,5.000,follow
118,11.900,leader,48.048,4.950,,,12.673,leader_state:normal
118,11.900,follower_01,35.578,5.016,leader,12.470,12.811,brake (too close to leader)
118,11.900,follower_02,23.465,4.861,follower_01,12.113,12.486,brake (too close to follower_01)
118,11.900,follower_03,12.294,4.205,follower_02,11.171,11.171,follow
118,11.900,follower_04,4.629,0.286,follower_03,7.665,5.295,follow
119,12.000,leader,48.544,4.963,,,12.700,leader_state:normal
119,12.000,follower_01,36.064,4.860,leader,12.480,12.485,brake (too close to leader)
119,12.000,follower_02,23.936,4.710,follower_01,12.128,12.175,brake (too close to follower_01)
119,12.000,follower_03,12.726,4.320,follower_02,11.210,11.394,brake (too close to follower_02)
119,12.000,follower_04,4.685,0.564,follower_03,8.041,5.599,follow
120,12.100,leader,49.040,4.963,,,12.700,leader_state:normal
120,12.100,follower_01,36.535,4.710,leader,12.505,12.175,follow
120,12.100,follower_02,24.393,4.564,follower_01,12.142,11.879,follow
120,12.100,follower_03,13.145,4.187,follower_02,11.248,11.134,follow
120,12.100,follower_04,4.769,0.843,follower_03,8.375,5.922,follow
121,12.200,leader,49.538,4.980,,,12.736,leader_state:normal
121,12.200,follower_01,37.033,4.982,leader,12.505,12.740,brake (too close to leader)
121,12.200,follower_02,24.871,4.785,follower_01,12.162,12.329,brake (too close to follower_01)
121,12.200,follower_03,13.570,4.251,follower_02,11.302,11.260,follow
121,12.200,follower_04,4.880,1.106,follower_03,8.690,6.242,follow
122,12.300,leader,50.034,4.954,,,12.680,leader_state:normal
122,12.300,follower_01,37.516,4.828,leader,12.518,12.418,follow
122,12.300,follower_02,25.335,4.637,follower_01,12.181,12.026,follow
122,12.300,follower_03,14.012,4.424,follower_02,11.323,11.599,brake (too close to follower_02)
122,12.300,follower_04,5.018,1.378,follower_03,8.995,6.588,follow
123,12.400,leader,50.532,4.985,,,12.746,leader_state:normal
123,12.400,follower_01,38.015,4.993,leader,12.517,12.763,brake (too close to leader)
123,12.400,follower_02,25.814,4.794,follower_01,12.201,12.347,brake (too close to follower_01)
123,12.400,follower_03,14.441,4.287,follower_02,11.374,11.329,follow
123,12.400,follower_04,5.181,1.630,follower_03,9.260,6.925,follow
124,12.500,leader,51.030,4.984,,,12.743,leader_state:normal
124,12.500,follower_01,38.499,4.838,leader,12.531,12.440,follow
124,12.500,follower_02,26.279,4.645,follower_01,12.220,12.043,follow
124,12.500,follower_03,14.884,4.427,follower_02,11.395,11.605,brake (too close to follower_02)
124,12.500,follower_04,5.368,1.871,follower_03,9.516,7.261,follow
125,12.600,leader,51.530,4.999,,,12.776,leader_state:normal
125,12.600,follower_01,39.007,5.074,leader,12.524,12.935,brake (too close to leader)
125,12.600,follower_02,26.759,4.802,follower_01,12.248,12.363,brake (too close to follower_01)
125,12.600,follower_03,15.313,4.290,follower_02,11.446,11.336,follow
125,12.600,follower_04,5.581,2.137,follower_03,9.731,7.644,follow
126,12.700,leader,52.030,4.996,,,12.770,leader_state:normal
126,12.700,follower_01,39.498,4.917,leader,12.532,12.604,brake (too close to leader)
126,12.700,follower_02,27.224,4.653,follower_01,12.274,12.059,follow
