step,time_s,veh,lane_pos_m,speed_mps,lead_of_this,gap_m,safe_m,action
78,79.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,3.200,4.000,brake_close_to:main_flow_e_w.6
78,79.000,main_flow_e_w.10,206.794,0.000,main_flow_e_w.9,7.698,4.000,follow_free
78,79.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.200,4.000,brake_close_to:main_flow_e_w.10
78,79.000,main_flow_e_w.11,199.793,0.408,main_flow_e_w.8,7.698,4.426,follow_free
78,79.000,turn01,199.793,0.000,main_flow_e_w.11,3.200,4.000,brake_close_to:main_flow_e_w.11
78,79.000,main_flow_e_w.12,192.792,0.000,turn01,7.001,4.000,follow_free
78,79.000,leader,192.410,8.524,,,20.598,leader_state:fast
78,79.000,main_flow_e_w.19,185.791,0.000,leader,122.177,4.000,follow_free
78,79.000,main_flow_e_w.16,185.636,1.193,main_flow_e_w.19,3.204,5.352,brake_close_to:main_flow_e_w.19
78,79.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.16,7.557,4.000,follow_free
78,79.000,main_flow_e_w.18,175.707,1.119,main_flow_e_w.14,4.444,5.258,brake_close_to:main_flow_e_w.14
78,79.000,main_flow_e_w.17,171.782,0.015,main_flow_e_w.18,5.064,4.015,follow_free
78,79.000,main_flow_e_w.20,164.757,0.109,main_flow_e_w.17,7.025,4.111,follow_free
78,79.000,main_flow_e_w.15,162.260,3.324,main_flow_e_w.20,4.059,8.552,brake_to_lead:main_flow_e_w.20
78,79.000,main_flow_e_w.21,154.084,3.989,main_flow_e_w.15,8.780,9.757,brake_close_to:main_flow_e_w.15
78,79.000,main_flow_e_w.23,142.438,5.521,main_flow_e_w.21,11.646,12.908,brake_close_to:main_flow_e_w.21
78,79.000,main_flow_e_w.24,104.612,13.890,main_flow_e_w.23,37.826,39.327,brake_to_lead:main_flow_e_w.23
78,79.000,main_flow_e_w.22,85.723,11.447,main_flow_e_w.24,18.890,30.006,brake_close_to:main_flow_e_w.24
78,79.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,166.009,4.000,follow_free
78,79.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
78,79.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
78,79.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
78,79.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
78,79.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
78,79.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
78,79.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
78,79.000,side_flow_s_n.4,10.595,0.000,side_flow_n_s.4,71.880,4.000,follow_free
78,79.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
78,79.000,side_flow_s_n.5,3.594,0.000,side_flow_n_s.5,85.871,4.000,follow_free
78,79.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
78,79.000,main_flow_e_w.3,1.855,2.856,side_flow_n_s.6,45.341,7.763,brake_to_lead:side_flow_n_s.6
79,80.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
79,80.000,main_flow_e_w.4,236.948,2.150,main_flow_e_w.0,5.811,6.664,brake_to_lead:main_flow_e_w.0
79,80.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.4,3.855,4.000,brake_close_to:main_flow_e_w.4
79,80.000,main_flow_e_w.7,227.797,0.000,main_flow_e_w.1,7.698,4.000,follow_free
79,80.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.7,3.200,4.000,brake_close_to:main_flow_e_w.7
79,80.000,main_flow_e_w.13,220.796,0.000,main_flow_e_w.2,7.698,4.000,follow_free
79,80.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.13,3.200,4.000,brake_close_to:main_flow_e_w.13
79,80.000,main_flow_e_w.6,213.795,0.000,main_flow_e_w.5,7.698,4.000,follow_free
79,80.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,3.200,4.000,brake_close_to:main_flow_e_w.6
79,80.000,main_flow_e_w.10,206.794,0.000,main_flow_e_w.9,7.698,4.000,follow_free
79,80.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.200,4.000,brake_close_to:main_flow_e_w.10
79,80.000,leader,201.719,9.310,,,22.940,leader_state:fast
79,80.000,main_flow_e_w.11,199.793,0.000,leader,98.695,4.000,follow_free
79,80.000,turn01,199.793,0.000,main_flow_e_w.11,3.200,4.000,brake_close_to:main_flow_e_w.11
79,80.000,main_flow_e_w.12,192.792,0.000,turn01,7.001,4.000,follow_free
79,80.000,main_flow_e_w.16,186.590,0.955,main_flow_e_w.12,6.978,5.056,follow_free
79,80.000,main_flow_e_w.19,185.791,0.000,main_flow_e_w.16,3.298,4.000,brake_close_to:main_flow_e_w.16
79,80.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.19,7.001,4.000,follow_free
79,80.000,main_flow_e_w.18,176.602,0.895,main_flow_e_w.14,3.876,4.985,brake_close_to:main_flow_e_w.14
79,80.000,main_flow_e_w.17,171.788,0.006,main_flow_e_w.18,5.781,4.006,follow_free
79,80.000,main_flow_e_w.20,164.773,0.016,main_flow_e_w.17,7.015,4.016,follow_free
79,80.000,main_flow_e_w.15,164.513,2.253,main_flow_e_w.20,3.211,6.817,brake_to_lead:main_flow_e_w.20
79,80.000,main_flow_e_w.21,157.276,3.191,main_flow_e_w.15,7.913,8.323,brake_close_to:main_flow_e_w.15
79,80.000,main_flow_e_w.23,146.855,4.417,main_flow_e_w.21,10.420,10.585,brake_close_to:main_flow_e_w.21
79,80.000,main_flow_e_w.24,115.713,11.100,main_flow_e_w.23,31.143,28.791,brake_to_lead:main_flow_e_w.23
79,80.000,main_flow_e_w.22,94.880,9.158,main_flow_e_w.24,20.833,22.475,brake_close_to:main_flow_e_w.24
79,80.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,156.859,4.000,follow_free
79,80.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
79,80.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
79,80.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
79,80.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
79,80.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
79,80.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
79,80.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
79,80.000,side_flow_s_n.4,10.595,0.000,side_flow_n_s.4,71.880,4.000,follow_free
79,80.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
79,80.000,main_flow_e_w.3,3.759,1.904,side_flow_n_s.5,38.140,6.307,follow_free
79,80.000,side_flow_s_n.5,3.594,0.000,main_flow_e_w.3,48.041,4.000,follow_free
79,80.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
80,81.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
80,81.000,main_flow_e_w.4,238.382,1.434,main_flow_e_w.0,4.681,5.662,brake_close_to:main_flow_e_w.0
80,81.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.4,4.805,4.000,follow_free
80,81.000,main_flow_e_w.7,229.750,1.953,main_flow_e_w.1,5.977,6.376,brake_close_to:main_flow_e_w.1
80,81.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.7,3.749,4.000,brake_close_to:main_flow_e_w.7
80,81.000,main_flow_e_w.13,220.796,0.000,main_flow_e_w.2,7.698,4.000,follow_free
80,81.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.13,3.200,4.000,brake_close_to:main_flow_e_w.13
80,81.000,main_flow_e_w.6,213.795,0.000,main_flow_e_w.5,7.698,4.000,follow_free
80,81.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,3.200,4.000,brake_close_to:main_flow_e_w.6
80,81.000,leader,211.851,10.132,,,25.537,leader_state:fast
80,81.000,main_flow_e_w.10,206.794,0.000,leader,81.606,4.000,follow_free
80,81.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.200,4.000,brake_close_to:main_flow_e_w.10
80,81.000,main_flow_e_w.11,199.793,0.000,main_flow_e_w.8,7.698,4.000,follow_free
80,81.000,turn01,199.793,0.000,main_flow_e_w.11,3.200,4.000,brake_close_to:main_flow_e_w.11
80,81.000,main_flow_e_w.12,192.792,0.000,turn01,7.001,4.000,follow_free
80,81.000,main_flow_e_w.16,189.505,2.915,main_flow_e_w.12,4.587,7.859,brake_to_lead:main_flow_e_w.12
80,81.000,main_flow_e_w.19,185.791,0.000,main_flow_e_w.16,4.903,4.000,follow_free
80,81.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.19,7.001,4.000,follow_free
80,81.000,main_flow_e_w.18,177.319,0.716,main_flow_e_w.14,3.522,4.773,brake_close_to:main_flow_e_w.14
80,81.000,main_flow_e_w.17,171.789,0.001,main_flow_e_w.18,6.389,4.001,follow_free
80,81.000,main_flow_e_w.15,166.020,1.507,main_flow_e_w.17,6.597,5.759,follow_free
80,81.000,main_flow_e_w.20,164.781,0.008,main_flow_e_w.15,3.431,4.008,brake_close_to:main_flow_e_w.15
80,81.000,main_flow_e_w.21,157.772,0.496,main_flow_e_w.20,7.009,4.524,follow_free
80,81.000,main_flow_e_w.23,150.275,3.419,main_flow_e_w.21,7.497,8.719,brake_to_lead:main_flow_e_w.21
80,81.000,main_flow_e_w.24,124.585,8.873,main_flow_e_w.23,25.689,21.620,brake_to_lead:main_flow_e_w.23
80,81.000,main_flow_e_w.22,102.206,7.326,main_flow_e_w.24,22.379,17.289,follow_free
80,81.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,149.540,4.000,follow_free
80,81.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
80,81.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
80,81.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
80,81.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
80,81.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
80,81.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
80,81.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
80,81.000,side_flow_s_n.4,10.595,0.000,side_flow_n_s.4,71.880,4.000,follow_free
80,81.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
80,81.000,main_flow_e_w.3,8.470,4.710,side_flow_n_s.5,34.607,11.175,brake_to_lead:side_flow_n_s.5
80,81.000,side_flow_s_n.5,3.594,0.000,main_flow_e_w.3,51.286,4.000,follow_free
80,81.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
81,82.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
81,82.000,main_flow_e_w.4,239.529,1.147,main_flow_e_w.0,3.924,5.293,brake_close_to:main_flow_e_w.0
81,82.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.4,5.711,4.000,follow_free
81,82.000,main_flow_e_w.7,231.312,1.562,main_flow_e_w.1,4.732,5.833,brake_close_to:main_flow_e_w.1
81,82.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.7,4.753,4.000,follow_free
81,82.000,leader,222.769,10.918,,,28.163,leader_state:fast
81,82.000,main_flow_e_w.13,222.566,1.770,leader,55.038,6.118,follow_free
81,82.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.13,3.657,4.000,brake_close_to:main_flow_e_w.13
81,82.000,main_flow_e_w.6,213.795,0.000,main_flow_e_w.5,7.698,4.000,follow_free
81,82.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,3.200,4.000,brake_close_to:main_flow_e_w.6
81,82.000,main_flow_e_w.10,206.794,0.000,main_flow_e_w.9,7.698,4.000,follow_free
81,82.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.200,4.000,brake_close_to:main_flow_e_w.10
81,82.000,main_flow_e_w.11,199.793,0.000,main_flow_e_w.8,7.698,4.000,follow_free
81,82.000,turn01,199.793,0.000,main_flow_e_w.11,3.200,4.000,brake_close_to:main_flow_e_w.11
81,82.000,main_flow_e_w.12,192.792,0.000,turn01,7.001,4.000,follow_free
81,82.000,main_flow_e_w.16,191.448,1.943,main_flow_e_w.12,3.471,6.363,brake_close_to:main_flow_e_w.12
81,82.000,main_flow_e_w.19,185.791,0.000,main_flow_e_w.16,6.500,4.000,follow_free
81,82.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.19,7.001,4.000,follow_free
81,82.000,main_flow_e_w.18,177.892,0.573,main_flow_e_w.14,3.324,4.610,brake_close_to:main_flow_e_w.14
81,82.000,main_flow_e_w.17,171.789,0.000,main_flow_e_w.18,6.891,4.000,follow_free
81,82.000,main_flow_e_w.15,169.131,3.111,main_flow_e_w.17,4.160,8.186,brake_to_lead:main_flow_e_w.17
81,82.000,main_flow_e_w.20,164.788,0.006,main_flow_e_w.15,5.395,4.006,follow_free
81,82.000,main_flow_e_w.21,157.777,0.005,main_flow_e_w.20,7.010,4.005,follow_free
81,82.000,main_flow_e_w.23,150.771,0.496,main_flow_e_w.21,7.006,4.524,follow_free
81,82.000,main_flow_e_w.24,131.640,7.055,main_flow_e_w.23,19.397,16.585,brake_to_lead:main_flow_e_w.23
81,82.000,main_flow_e_w.22,111.266,9.060,main_flow_e_w.24,20.624,22.180,brake_close_to:main_flow_e_w.24
81,82.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,140.489,4.000,follow_free
81,82.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
81,82.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
81,82.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
81,82.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
81,82.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
81,82.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
81,82.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
81,82.000,main_flow_e_w.3,11.610,3.140,side_flow_n_s.4,27.747,8.236,brake_to_lead:side_flow_n_s.4
81,82.000,side_flow_s_n.4,10.595,0.000,main_flow_e_w.3,44.612,4.000,follow_free
81,82.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
81,82.000,side_flow_s_n.5,3.594,0.000,side_flow_n_s.5,85.871,4.000,follow_free
81,82.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
82,83.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
82,83.000,main_flow_e_w.4,240.446,0.917,main_flow_e_w.0,3.474,5.011,brake_close_to:main_flow_e_w.0
82,83.000,main_flow_e_w.1,234.798,0.000,main_flow_e_w.4,6.492,4.000,follow_free
82,83.000,leader,233.310,10.541,,,26.888,leader_state:fast
82,83.000,main_flow_e_w.7,232.528,1.216,leader,34.756,5.380,follow_free
82,83.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.7,5.711,4.000,follow_free
82,83.000,main_flow_e_w.13,223.484,0.917,main_flow_e_w.2,5.371,5.011,follow_free
82,83.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.13,4.179,4.000,follow_free
82,83.000,main_flow_e_w.6,215.434,1.639,main_flow_e_w.5,6.244,5.937,follow_free
82,83.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,3.595,4.000,brake_close_to:main_flow_e_w.6
82,83.000,main_flow_e_w.10,206.794,0.000,main_flow_e_w.9,7.698,4.000,follow_free
82,83.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.200,4.000,brake_close_to:main_flow_e_w.10
82,83.000,main_flow_e_w.11,199.793,0.000,main_flow_e_w.8,7.698,4.000,follow_free
82,83.000,turn01,199.793,0.000,main_flow_e_w.11,3.200,4.000,brake_close_to:main_flow_e_w.11
82,83.000,main_flow_e_w.16,192.792,1.344,turn01,7.698,5.545,follow_free
82,83.000,main_flow_e_w.12,192.792,0.000,main_flow_e_w.16,3.200,4.000,brake_close_to:main_flow_e_w.16
82,83.000,main_flow_e_w.19,185.791,0.000,main_flow_e_w.12,7.001,4.000,follow_free
82,83.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.19,7.001,4.000,follow_free
82,83.000,main_flow_e_w.18,178.350,0.458,main_flow_e_w.14,3.230,4.482,brake_close_to:main_flow_e_w.14
82,83.000,main_flow_e_w.17,171.789,0.000,main_flow_e_w.18,7.300,4.000,follow_free
82,83.000,main_flow_e_w.15,170.891,1.760,main_flow_e_w.17,3.324,6.104,brake_close_to:main_flow_e_w.17
82,83.000,main_flow_e_w.20,164.788,0.000,main_flow_e_w.15,6.891,4.000,follow_free
82,83.000,main_flow_e_w.21,157.785,0.007,main_flow_e_w.20,7.003,4.007,follow_free
82,83.000,main_flow_e_w.23,150.774,0.003,main_flow_e_w.21,7.011,4.003,follow_free
82,83.000,main_flow_e_w.24,136.509,4.869,main_flow_e_w.23,14.620,11.502,brake_to_lead:main_flow_e_w.23
82,83.000,main_flow_e_w.22,118.514,7.248,main_flow_e_w.24,18.277,17.085,brake_to_lead:main_flow_e_w.24
82,83.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,133.250,4.000,follow_free
82,83.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
82,83.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
82,83.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
82,83.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
82,83.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
82,83.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
82,83.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
82,83.000,main_flow_e_w.3,13.703,2.093,side_flow_n_s.4,28.036,6.580,brake_to_lead:side_flow_n_s.4
82,83.000,side_flow_s_n.4,10.595,0.000,main_flow_e_w.3,44.942,4.000,follow_free
82,83.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
82,83.000,side_flow_s_n.5,3.594,0.000,side_flow_n_s.5,85.871,4.000,follow_free
82,83.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
83,84.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
83,84.000,main_flow_e_w.4,241.180,0.734,main_flow_e_w.0,3.259,4.794,brake_close_to:main_flow_e_w.0
83,84.000,leader,239.374,6.064,,,14.149,leader_state:fast
83,84.000,main_flow_e_w.1,234.798,0.000,leader,27.555,4.000,follow_free
83,84.000,main_flow_e_w.7,233.141,0.613,main_flow_e_w.1,3.604,4.655,brake_close_to:main_flow_e_w.1
83,84.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.7,6.229,4.000,follow_free
83,84.000,main_flow_e_w.13,224.881,1.397,main_flow_e_w.2,4.330,5.614,brake_close_to:main_flow_e_w.2
83,84.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.13,5.189,4.000,follow_free
83,84.000,main_flow_e_w.6,216.208,0.774,main_flow_e_w.5,5.594,4.841,follow_free
83,84.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,4.008,4.000,follow_free
83,84.000,main_flow_e_w.10,208.128,1.334,main_flow_e_w.9,6.508,5.531,follow_free
83,84.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.467,4.000,brake_close_to:main_flow_e_w.10
83,84.000,main_flow_e_w.11,199.793,0.000,main_flow_e_w.8,7.698,4.000,follow_free
83,84.000,turn01,199.793,0.000,main_flow_e_w.11,3.200,4.000,brake_close_to:main_flow_e_w.11
83,84.000,main_flow_e_w.16,192.792,0.000,turn01,7.698,4.000,follow_free
83,84.000,main_flow_e_w.12,192.792,0.000,main_flow_e_w.16,3.200,4.000,brake_close_to:main_flow_e_w.16
83,84.000,main_flow_e_w.19,185.791,0.000,main_flow_e_w.12,7.001,4.000,follow_free
83,84.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.19,7.001,4.000,follow_free
83,84.000,main_flow_e_w.18,178.717,0.367,main_flow_e_w.14,3.201,4.382,brake_close_to:main_flow_e_w.14
83,84.000,main_flow_e_w.17,171.789,0.000,main_flow_e_w.18,7.631,4.000,follow_free
83,84.000,main_flow_e_w.15,171.349,0.458,main_flow_e_w.17,3.230,4.482,brake_close_to:main_flow_e_w.17
83,84.000,main_flow_e_w.20,164.788,0.000,main_flow_e_w.15,7.300,4.000,follow_free
83,84.000,main_flow_e_w.21,157.786,0.002,main_flow_e_w.20,7.001,4.002,follow_free
83,84.000,main_flow_e_w.23,150.783,0.009,main_flow_e_w.21,7.003,4.009,follow_free
83,84.000,main_flow_e_w.24,139.756,3.247,main_flow_e_w.23,11.483,8.418,brake_to_lead:main_flow_e_w.23
83,84.000,main_flow_e_w.22,124.969,6.455,main_flow_e_w.24,15.129,15.084,brake_to_lead:main_flow_e_w.24
83,84.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,126.803,4.000,follow_free
83,84.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
83,84.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
83,84.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
83,84.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
83,84.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
83,84.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
83,84.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
83,84.000,side_flow_s_n.4,10.595,0.000,side_flow_n_s.4,71.880,4.000,follow_free
83,84.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
83,84.000,side_flow_s_n.5,3.594,0.000,side_flow_n_s.5,85.871,4.000,follow_free
83,84.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
83,84.000,main_flow_e_w.3,0.699,1.396,side_flow_n_s.6,42.080,5.612,follow_free
84,85.000,main_flow_e_w.0,241.799,0.000,,,4.000,free
84,85.000,main_flow_e_w.4,241.767,0.587,main_flow_e_w.0,3.200,4.625,brake_close_to:main_flow_e_w.0
84,85.000,leader,241.510,2.136,,,6.644,leader_state:fast
84,85.000,main_flow_e_w.1,234.798,0.000,leader,25.563,4.000,follow_free
84,85.000,main_flow_e_w.7,233.631,0.491,main_flow_e_w.1,3.406,4.517,brake_close_to:main_flow_e_w.1
84,85.000,main_flow_e_w.2,227.797,0.000,main_flow_e_w.7,6.654,4.000,follow_free
84,85.000,main_flow_e_w.13,225.998,1.118,main_flow_e_w.2,3.671,5.256,brake_close_to:main_flow_e_w.2
84,85.000,main_flow_e_w.5,220.796,0.000,main_flow_e_w.13,6.108,4.000,follow_free
84,85.000,main_flow_e_w.6,217.571,1.363,main_flow_e_w.5,4.543,5.570,brake_close_to:main_flow_e_w.5
84,85.000,main_flow_e_w.9,213.795,0.000,main_flow_e_w.6,4.950,4.000,follow_free
84,85.000,main_flow_e_w.10,208.714,0.586,main_flow_e_w.9,6.005,4.624,follow_free
84,85.000,main_flow_e_w.8,206.794,0.000,main_flow_e_w.10,3.732,4.000,brake_close_to:main_flow_e_w.10
84,85.000,main_flow_e_w.11,201.075,1.282,main_flow_e_w.8,6.553,5.465,follow_free
84,85.000,turn01,199.793,0.000,main_flow_e_w.11,3.447,4.000,brake_close_to:main_flow_e_w.11
84,85.000,main_flow_e_w.16,192.792,0.000,turn01,7.698,4.000,follow_free
84,85.000,main_flow_e_w.12,192.792,0.000,main_flow_e_w.16,3.200,4.000,brake_close_to:main_flow_e_w.16
84,85.000,main_flow_e_w.19,185.791,0.000,main_flow_e_w.12,7.001,4.000,follow_free
84,85.000,main_flow_e_w.18,179.010,0.293,main_flow_e_w.19,7.498,4.303,follow_free
84,85.000,main_flow_e_w.14,178.790,0.000,main_flow_e_w.18,3.208,4.000,brake_close_to:main_flow_e_w.18
84,85.000,main_flow_e_w.17,171.789,0.000,main_flow_e_w.14,7.001,4.000,follow_free
84,85.000,main_flow_e_w.15,171.716,0.367,main_flow_e_w.17,3.201,4.382,brake_close_to:main_flow_e_w.17
84,85.000,main_flow_e_w.20,164.788,0.000,main_flow_e_w.15,7.632,4.000,follow_free
84,85.000,main_flow_e_w.21,157.787,0.000,main_flow_e_w.20,7.001,4.000,follow_free
84,85.000,main_flow_e_w.23,150.784,0.001,main_flow_e_w.21,7.002,4.001,follow_free
84,85.000,main_flow_e_w.24,141.923,2.168,main_flow_e_w.23,9.421,6.690,brake_to_lead:main_flow_e_w.23
84,85.000,main_flow_e_w.22,130.354,5.385,main_flow_e_w.24,12.004,12.608,brake_to_lead:main_flow_e_w.24
84,85.000,side_flow_n_s.1,38.599,0.000,main_flow_e_w.22,121.425,4.000,follow_free
84,85.000,side_flow_s_n.0,38.599,0.000,side_flow_n_s.1,23.025,4.000,follow_free
84,85.000,side_flow_n_s.2,31.598,0.000,side_flow_s_n.0,29.974,4.000,follow_free
84,85.000,side_flow_s_n.1,31.598,0.000,side_flow_n_s.2,36.943,4.000,follow_free
84,85.000,side_flow_s_n.2,24.597,0.000,side_flow_s_n.1,7.001,4.000,follow_free
84,85.000,side_flow_n_s.3,24.597,0.000,side_flow_s_n.2,50.907,4.000,follow_free
84,85.000,side_flow_s_n.3,17.596,0.000,side_flow_n_s.3,57.896,4.000,follow_free
84,85.000,side_flow_n_s.4,17.596,0.000,side_flow_s_n.3,64.887,4.000,follow_free
84,85.000,side_flow_s_n.4,10.595,0.000,side_flow_n_s.4,71.880,4.000,follow_free
84,85.000,side_flow_n_s.5,10.595,0.000,side_flow_s_n.4,78.875,4.000,follow_free
84,85.000,main_flow_e_w.3,3.874,3.176,side_flow_n_s.5,35.879,8.296,brake_to_lead:side_flow_n_s.5
84,85.000,side_flow_s_n.5,3.594,0.000,main_flow_e_w.3,52.751,4.000,follow_free
84,85.000,side_flow_n_s.6,3.594,0.000,side_flow_s_n.5,92.867,4.000,follow_free
85,86.000,main_flow_e_w.4,242.237,0.470,,,4.494,free
85,86.000,main_flow_e_w.0,241.799,0.000,main_flow_e_w.4,3.230,4.000,brake_close_to:main_flow_e_w.4
85,86.000,leader,241.665,0.155,,,4.157,leader_state:fast
85,86.000,main_flow_e_w.1,234.798,0.000,leader,25.419,4.000,follow_free
85,86.000,main_flow_e_w.7,234.024,0.392,main_flow_e_w.1,3.292,4.410,brake_close_to:main_flow_e_w.1
